cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,concrete_compressive_strength
540,0,0,162,2.5,1040,676,28,79.99
540,0,0,162,2.5,1055,676,28,61.89
332.5,142.5,0,228,0,932,594,270,40.27
332.5,142.5,0,228,0,932,594,365,41.05
198.6,132.4,0,192,0,978.4,825.5,360,44.3
266,114,0,228,0,932,670,90,47.03
380,95,0,228,0,932,594,365,43.7
380,95,0,228,0,932,594,28,36.45
266,114,0,228,0,932,670,28,45.85
475,0,0,228,0,932,594,28,39.29
198.6,132.4,0,192,0,978.4,825.5,90,38.07
198.6,132.4,0,192,0,978.4,825.5,28,28.02
427.5,47.5,0,228,0,932,594,270,43.01
190,190,0,228,0,932,670,90,42.33
304,76,0,228,0,932,670,28,47.81
380,0,0,228,0,932,670,90,52.91
139.6,209.4,0,192,0,1047,806.9,90,39.36
342,38,0,228,0,932,670,365,56.14
380,95,0,228,0,932,594,90,40.56
475,0,0,228,0,932,594,180,42.62
427.5,47.5,0,228,0,932,594,180,41.84
139.6,209.4,0,192,0,1047,806.9,28,28.24
139.6,209.4,0,192,0,1047,806.9,3,8.06
139.6,209.4,0,192,0,1047,806.9,180,44.21
380,0,0,228,0,932,670,365,52.52
380,0,0,228,0,932,670,270,53.3
380,95,0,228,0,932,594,270,41.15
342,38,0,228,0,932,670,180,52.12
427.5,47.5,0,228,0,932,594,28,37.43
475,0,0,228,0,932,594,7,38.6
304,76,0,228,0,932,670,365,55.26
266,114,0,228,0,932,670,365,52.91
198.6,132.4,0,192,0,978.4,825.5,180,41.72
475,0,0,228,0,932,594,270,42.13
190,190,0,228,0,932,670,365,53.69
237.5,237.5,0,228,0,932,594,270,38.41
237.5,237.5,0,228,0,932,594,28,30.08
332.5,142.5,0,228,0,932,594,90,37.72
475,0,0,228,0,932,594,90,42.23
237.5,237.5,0,228,0,932,594,180,36.25
342,38,0,228,0,932,670,90,50.46
427.5,47.5,0,228,0,932,594,365,43.7
237.5,237.5,0,228,0,932,594,365,39
380,0,0,228,0,932,670,180,53.1
427.5,47.5,0,228,0,932,594,90,41.54
427.5,47.5,0,228,0,932,594,7,35.08
349,0,0,192,0,1047,806.9,3,15.05
380,95,0,228,0,932,594,180,40.76
237.5,237.5,0,228,0,932,594,7,26.26
380,95,0,228,0,932,594,7,32.82
332.5,142.5,0,228,0,932,594,180,39.78
190,190,0,228,0,932,670,180,46.93
237.5,237.5,0,228,0,932,594,90,33.12
304,76,0,228,0,932,670,90,49.19
139.6,209.4,0,192,0,1047,806.9,7,14.59
198.6,132.4,0,192,0,978.4,825.5,7,14.64
475,0,0,228,0,932,594,365,41.93
198.6,132.4,0,192,0,978.4,825.5,3,9.13
304,76,0,228,0,932,670,180,50.95
332.5,142.5,0,228,0,932,594,28,33.02
304,76,0,228,0,932,670,270,54.38
266,114,0,228,0,932,670,270,51.73
310,0,0,192,0,971,850.6,3,9.87
190,190,0,228,0,932,670,270,50.66
266,114,0,228,0,932,670,180,48.7
342,38,0,228,0,932,670,270,55.06
139.6,209.4,0,192,0,1047,806.9,360,44.7
332.5,142.5,0,228,0,932,594,7,30.28
190,190,0,228,0,932,670,28,40.86
485,0,0,146,0,1120,800,28,71.99
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
425,106.3,0,151.4,18.6,936,803.7,3,36.3
375,93.8,0,126.6,23.4,852.1,992.6,3,29
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
469,117.2,0,137.8,32.2,852.1,840.5,3,40.2
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
439,177,0,186,11.1,884.9,707.9,3,39.3
389.9,189,0,145.9,22,944.7,755.8,3,40.6
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
