cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,concrete_compressive_strength
331,0,0,192,0,978,825,180,39
331,0,0,192,0,978,825,360,41.24
349,0,0,192,0,1047,806,3,14.99
331,0,0,192,0,978,825,3,13.52
382,0,0,186,0,1047,739,7,24
382,0,0,186,0,1047,739,28,37.42
382,0,0,186,0,1111,784,7,11.47
281,0,0,186,0,1104,774,28,22.44
339,0,0,185,0,1069,754,7,21.16
339,0,0,185,0,1069,754,28,31.84
295,0,0,185,0,1069,769,7,14.8
295,0,0,185,0,1069,769,28,25.18
238,0,0,185,0,1118,789,28,17.54
296,0,0,192,0,1085,765,7,14.2
296,0,0,192,0,1085,765,28,21.65
296,0,0,192,0,1085,765,90,29.39
331,0,0,192,0,879,825,3,13.52
331,0,0,192,0,978,825,7,16.26
331,0,0,192,0,978,825,28,31.45
331,0,0,192,0,978,825,90,37.23
349,0,0,192,0,1047,806,7,18.13
349,0,0,192,0,1047,806,28,32.72
349,0,0,192,0,1047,806,90,39.49
349,0,0,192,0,1047,806,180,41.05
349,0,0,192,0,1047,806,360,42.13
302,0,0,203,0,974,817,14,18.13
302,0,0,203,0,974,817,180,26.74
525,0,0,189,0,1125,613,180,61.92
500,0,0,200,0,1125,613,90,47.22
500,0,0,200,0,1125,613,180,51.04
500,0,0,200,0,1125,613,270,55.16
540,0,0,173,0,1125,613,3,41.64
252,0,0,185,0,1111,784,7,13.71
252,0,0,185,0,1111,784,28,19.69
339,0,0,185,0,1060,754,28,31.65
393,0,0,192,0,940,758,3,19.11
393,0,0,192,0,940,758,28,39.58
393,0,0,192,0,940,758,90,48.79
382,0,0,185,0,1047,739,7,24
382,0,0,185,0,1047,739,28,37.42
252,0,0,186,0,1111,784,7,11.47
252,0,0,185,0,1111,784,28,19.69
310,0,0,192,0,970,850,7,14.99
310,0,0,192,0,970,850,28,27.92
310,0,0,192,0,970,850,90,34.68
310,0,0,192,0,970,850,180,37.33
310,0,0,192,0,970,850,360,38.11
525,0,0,189,0,1125,613,3,33.8
525,0,0,189,0,1125,613,7,42.42
525,0,0,189,0,1125,613,14,48.4
525,0,0,189,0,1125,613,28,55.94
525,0,0,189,0,1125,613,90,58.78
525,0,0,189,0,1125,613,270,67.11
322,0,0,203,0,974,800,14,20.77
322,0,0,203,0,974,800,28,25.18
322,0,0,203,0,974,800,180,29.59
302,0,0,203,0,974,817,28,21.75
397,0,0,185,0,1040,734,28,39.09
480,0,0,192,0,936,721,3,24.39
522,0,0,146,0,896,896,7,50.51
522,0,0,146,0,896,896,28,74.99
273,105,82,210,9,904,680,28,37.17
162,190,148,179,19,838,741,28,33.76
154,144,112,220,10,923,658,28,16.5
147,115,89,202,9,860,829,28,19.99
152,178,139,168,18,944,695,28,36.35
310,143,111,168,22,914,651,28,33.69
144,0,175,158,18,943,844,28,15.42
304,140,0,214,6,895,722,28,33.42
374,0,0,190,7,1013,730,28,39.05
159,149,116,175,15,953,720,28,27.68
153,239,0,200,6,1002,684,28,26.86
310,143,0,168,10,914,804,28,45.3
305,0,100,196,10,959,705,28,30.12
151,0,184,167,12,991,772,28,15.57
142,167,130,174,11,883,785,28,44.61
298,137,107,201,6,878,655,28,53.52
321,164,0,190,5,870,774,28,57.21
366,187,0,191,7,824,757,28,65.91
280,129,100,172,9,825,805,28,52.82
252,97,76,194,8,835,821,28,33.4
165,0,150,182,12,1023,729,28,18.03
156,243,0,180,11,1022,698,28,37.36
160,188,146,203,11,829,710,28,32.84
298,0,107,186,6,879,815,28,42.64
318,0,126,210,6,861,737,28,40.06
287,121,94,188,9,904,696,28,41.94
326,166,0,174,9,882,790,28,61.23
356,0,142,193,11,801,778,28,40.87
132,207,161,179,5,867,736,28,33.3
322,149,0,186,8,951,709,28,52.42
164,0,200,181,13,849,846,28,15.09
314,0,113,170,10,925,783,28,38.46
321,0,128,182,11,870,780,28,37.26
140,164,128,237,6,869,656,28,35.23
288,121,0,177,7,908,829,28,42.13
298,0,107,210,11,880,744,28,31.87
265,111,86,195,6,833,790,28,41.54
160,250,0,168,12,1049,688,28,39.45
166,260,0,183,13,859,827,28,37.91
276,116,90,180,9,870,768,28,44.28
322,0,116,196,10,818,813,28,31.18
149,139,109,193,6,892,780,28,23.69
159,187,0,176,11,990,789,28,32.76
261,100,78,201,9,864,761,28,32.4
237,92,71,247,6,853,695,28,28.63
313,0,113,178,8,1002,689,28,36.8
155,183,0,193,9,1047,697,28,18.28
146,230,0,202,3,827,872,28,33.06
296,0,107,221,11,819,778,28,31.42
133,210,0,196,3,949,795,28,31.03
313,145,0,178,8,867,824,28,44.39
152,0,112,184,8,992,816,28,12.18
153,145,113,178,8,1002,689,28,25.56
140,133,103,200,7,916,753,28,36.44
149,236,0,176,13,847,893,28,32.96
300,0,120,212,10,878,728,28,23.84
153,145,113,178,8,867,824,28,26.23
148,0,137,158,16,1002,830,28,17.95
326,0,138,199,11,801,792,28,40.68
153,145,0,178,8,1000,822,28,19.01
262,111,86,195,5,895,733,28,33.72
158,0,195,220,11,898,713,28,8.54
151,0,185,167,16,1074,678,28,13.46
273,0,90,199,11,931,762,28,32.24
149,118,92,183,7,953,780,28,23.52
143,169,143,191,8,967,643,28,29.72
260,101,78,171,10,936,763,28,49.77
313,161,0,178,10,917,759,28,52.44
284,120,0,168,7,970,794,28,40.93
336,0,0,182,3,986,817,28,44.86
145,0,134,181,11,979,812,28,13.2
150,237,0,174,12,1069,675,28,37.43
144,170,133,192,8,814,805,28,29.87
331,170,0,195,8,811,802,28,56.61
155,0,143,193,9,1047,697,28,12.46
155,183,0,193,9,877,868,28,23.79
135,0,166,180,10,961,805,28,13.29
266,112,87,178,10,910,745,28,39.42
314,145,113,179,8,869,690,28,46.23
313,145,0,127,8,1000,822,28,44.52
146,173,0,182,3,986,817,28,23.74
144,136,106,178,7,941,774,28,26.14
148,0,182,181,15,839,884,28,15.52
277,117,91,191,7,946,666,28,43.57
298,0,107,164,13,953,784,28,35.86
313,145,0,178,8,1002,689,28,41.05
155,184,143,194,9,880,699,28,28.99
289,134,0,195,6,924,760,28,46.24
148,175,0,171,2,1000,828,28,26.92
145,0,179,202,8,824,869,28,10.54
313,0,0,178,8,1000,822,28,25.1
136,162,126,172,10,923,764,28,29.07
155,0,143,193,9,877,868,28,9.74
255,99,77,189,6,919,749,28,33.8
162,207,172,216,10,822,638,28,39.84
136,196,98,199,6,847,783,28,26.97
164,163,128,197,8,961,641,28,27.23
162,214,164,202,10,820,680,28,30.65
157,214,152,200,9,819,704,28,33.05
149,153,194,192,8,935,623,28,24.58
135,105,193,196,6,965,643,28,21.91
159,209,161,201,7,848,669,28,30.88
144,15,195,176,6,1021,709,28,15.34
154,174,185,228,7,845,612,28,24.34
167,187,195,185,7,898,636,28,23.89
184,86,190,213,6,923,623,28,22.93
156,178,187,221,7,854,614,28,29.41
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
